timestamp,temperature,humidity
2018-11-05 00:00:00,11.8,96.5
2018-11-05 00:10:00,11.6,96.9
2018-11-05 00:20:00,11.6,97.1
2018-11-05 00:30:00,11.6,97.0
2018-11-05 00:40:00,11.6,97.3
2018-11-05 00:50:00,11.6,97.3
2018-11-05 01:00:00,11.6,97.3
2018-11-05 01:10:00,11.6,96.8
2018-11-05 01:20:00,11.3,97.8
2018-11-05 01:30:00,11.4,97.6
2018-11-05 01:40:00,11.3,97.2
2018-11-05 01:50:00,11.4,96.8
2018-11-05 02:00:00,11.5,96.5
2018-11-05 02:10:00,11.3,96.8
2018-11-05 02:20:00,10.9,97.7
2018-11-05 02:30:00,10.7,98.5
2018-11-05 02:40:00,10.7,98.8
2018-11-05 02:50:00,10.9,98.6
2018-11-05 03:00:00,11.1,98.3
2018-11-05 03:10:00,11.2,98.8
2018-11-05 03:20:00,11.5,98.2
2018-11-05 03:30:00,11.4,98.0
2018-11-05 03:40:00,11.2,98.9
2018-11-05 03:50:00,11.4,98.5
2018-11-05 04:00:00,11.4,97.9
2018-11-05 04:10:00,11.1,98.7
2018-11-05 04:20:00,11.4,98.2
2018-11-05 04:30:00,10.9,98.6
2018-11-05 04:40:00,10.8,98.8
2018-11-05 04:50:00,10.7,99.3
2018-11-05 05:00:00,10.9,99.4
2018-11-05 05:10:00,10.9,99.3
2018-11-05 05:20:00,10.9,99.2
2018-11-05 05:30:00,11.0,99.2
2018-11-05 05:40:00,11.2,98.9
2018-11-05 05:50:00,11.2,98.7
2018-11-05 06:00:00,11.5,97.8
2018-11-05 06:10:00,11.3,97.9
2018-11-05 06:20:00,11.1,98.7
2018-11-05 06:30:00,11.0,99.1
2018-11-05 06:40:00,11.0,99.2
2018-11-05 06:50:00,11.0,99.2
2018-11-05 07:00:00,11.0,99.3
2018-11-05 07:10:00,11.1,99.2
2018-11-05 07:20:00,11.4,99.0
2018-11-05 07:30:00,11.6,98.6
2018-11-05 07:40:00,11.6,98.5
2018-11-05 07:50:00,11.6,98.8
2018-11-05 08:00:00,11.8,98.7
2018-11-05 08:10:00,12.0,98.8
2018-11-05 08:20:00,12.1,98.4
2018-11-05 08:30:00,12.2,98.0
2018-11-05 08:40:00,12.1,98.6
2018-11-05 08:50:00,12.1,98.6
2018-11-05 09:00:00,12.2,97.8
2018-11-05 09:10:00,12.5,96.1
2018-11-05 09:20:00,12.8,95.4
2018-11-05 09:30:00,12.9,94.8
2018-11-05 09:40:00,13.0,93.2
2018-11-05 09:50:00,13.2,93.4
2018-11-05 10:00:00,13.2,92.6
2018-11-05 10:10:00,13.3,92.5
2018-11-05 10:20:00,13.2,90.6
2018-11-05 10:30:00,13.4,90.9
2018-11-05 10:40:00,13.4,91.7
2018-11-05 10:50:00,13.6,91.6
2018-11-05 11:00:00,13.8,91.1
2018-11-05 11:10:00,13.8,91.7
2018-11-05 11:20:00,13.8,90.6
2018-11-05 11:30:00,13.9,91.9
2018-11-05 11:40:00,13.9,91.9
2018-11-05 11:50:00,14.0,91.2
2018-11-05 12:00:00,14.2,90.6
2018-11-05 12:10:00,14.3,90.5
2018-11-05 12:20:00,14.4,89.8
2018-11-05 12:30:00,14.2,91.3
2018-11-05 12:40:00,14.2,90.8
2018-11-05 12:50:00,14.2,90.9
2018-11-05 13:00:00,14.2,88.3
2018-11-05 13:10:00,14.4,88.4
2018-11-05 13:20:00,14.4,86.9
2018-11-05 13:30:00,14.3,89.1
2018-11-05 13:40:00,14.2,90.9
2018-11-05 13:50:00,14.2,90.4
2018-11-05 14:00:00,14.3,89.7
2018-11-05 14:10:00,14.6,87.4
2018-11-05 14:20:00,14.7,86.0
2018-11-05 14:30:00,15.1,84.5
2018-11-05 14:40:00,14.9,85.1
2018-11-05 14:50:00,14.6,87.7
2018-11-05 15:00:00,14.4,89.9
2018-11-05 15:10:00,14.2,89.6
2018-11-05 15:20:00,14.2,90.2
2018-11-05 15:30:00,14.2,89.5
2018-11-05 15:40:00,14.2,89.1
2018-11-05 15:50:00,14.1,89.9
2018-11-05 16:00:00,13.9,92.0
2018-11-05 16:10:00,13.8,92.1
2018-11-05 16:20:00,13.8,91.9
2018-11-05 16:30:00,13.8,91.8
2018-11-05 16:40:00,13.7,92.6
2018-11-05 16:50:00,13.5,94.2
2018-11-05 17:00:00,13.2,95.8
2018-11-05 17:10:00,13.3,95.7
2018-11-05 17:20:00,13.2,95.5
2018-11-05 17:30:00,12.9,96.6
2018-11-05 17:40:00,12.9,96.5
2018-11-05 17:50:00,12.8,97.1
2018-11-05 18:00:00,12.9,96.5
2018-11-05 18:10:00,12.9,96.2
2018-11-05 18:20:00,12.8,96.9
2018-11-05 18:30:00,12.9,96.0
2018-11-05 18:40:00,12.6,97.5
2018-11-05 18:50:00,12.6,97.6
2018-11-05 19:00:00,12.5,97.7
2018-11-05 19:10:00,12.8,97.3
2018-11-05 19:20:00,12.5,98.0
2018-11-05 19:30:00,12.6,98.4
2018-11-05 19:40:00,12.4,98.5
2018-11-05 19:50:00,12.5,98.9
2018-11-05 20:00:00,12.3,98.9
2018-11-05 20:10:00,12.5,98.7
2018-11-05 20:20:00,12.4,98.5
2018-11-05 20:30:00,12.4,98.6
2018-11-05 20:40:00,12.7,97.3
2018-11-05 20:50:00,12.5,97.5
2018-11-05 21:00:00,12.3,98.1
2018-11-05 21:10:00,12.5,97.7
2018-11-05 21:20:00,12.0,98.5
2018-11-05 21:30:00,11.7,98.9
2018-11-05 21:40:00,11.6,99.2
2018-11-05 21:50:00,11.7,99.3
2018-11-05 22:00:00,11.7,99.2
2018-11-05 22:10:00,11.8,99.1
2018-11-05 22:20:00,11.8,99.1
2018-11-05 22:30:00,11.8,99.1
2018-11-05 22:40:00,11.8,99.0
2018-11-05 22:50:00,11.7,99.2
2018-11-05 23:00:00,11.7,98.8
2018-11-05 23:10:00,11.6,99.2
2018-11-05 23:20:00,11.6,99.3
2018-11-05 23:30:00,11.6,99.1
2018-11-05 23:40:00,11.3,99.3
2018-11-05 23:50:00,11.4,99.5
2018-11-06 00:00:00,11.6,99.4
2018-11-06 00:10:00,11.5,99.1
2018-11-06 00:20:00,11.5,99.4
2018-11-06 00:30:00,11.4,99.1
2018-11-06 00:40:00,11.3,99.5
2018-11-06 00:50:00,11.4,99.0
2018-11-06 01:00:00,11.4,99.2
2018-11-06 01:10:00,11.2,99.4
2018-11-06 01:20:00,11.3,99.8
2018-11-06 01:30:00,11.3,99.8
2018-11-06 01:40:00,11.4,99.8
2018-11-06 01:50:00,11.3,99.5
2018-11-06 02:00:00,11.2,99.7
2018-11-06 02:10:00,11.3,99.8
2018-11-06 02:20:00,11.3,99.9
2018-11-06 02:30:00,11.3,99.8
2018-11-06 02:40:00,11.1,99.8
2018-11-06 02:50:00,11.0,100.0
2018-11-06 03:00:00,11.1,100.0
2018-11-06 03:10:00,10.9,100.0
2018-11-06 03:20:00,11.1,100.0
2018-11-06 03:30:00,11.3,100.0
2018-11-06 03:40:00,11.1,99.7
2018-11-06 03:50:00,10.9,99.7
2018-11-06 04:00:00,10.8,99.8
2018-11-06 04:10:00,10.8,99.7
2018-11-06 04:20:00,10.7,99.9
2018-11-06 04:30:00,10.8,100.0
2018-11-06 04:40:00,10.7,100.0
2018-11-06 04:50:00,10.6,100.0
2018-11-06 05:00:00,10.6,100.0
2018-11-06 05:10:00,10.6,100.0
2018-11-06 05:20:00,10.6,100.0
2018-11-06 05:30:00,10.7,100.0
2018-11-06 05:40:00,10.6,100.0
2018-11-06 05:50:00,10.6,100.0
2018-11-06 06:00:00,10.6,100.0
2018-11-06 06:10:00,10.6,100.0
2018-11-06 06:20:00,10.7,100.0
2018-11-06 06:30:00,10.6,100.0
2018-11-06 06:40:00,10.6,100.0
2018-11-06 06:50:00,10.9,100.0
2018-11-06 07:00:00,11.0,100.0
2018-11-06 07:10:00,11.2,100.0
2018-11-06 07:20:00,11.3,100.0
2018-11-06 07:30:00,11.7,100.0
2018-11-06 07:40:00,11.8,99.8
2018-11-06 07:50:00,11.9,99.2
2018-11-06 08:00:00,12.0,98.0
2018-11-06 08:10:00,12.1,98.0
2018-11-06 08:20:00,12.0,98.7
2018-11-06 08:30:00,12.1,98.6
2018-11-06 08:40:00,12.2,98.1
2018-11-06 08:50:00,12.2,98.6
2018-11-06 09:00:00,12.2,98.5
2018-11-06 09:10:00,12.4,98.4
2018-11-06 09:20:00,12.5,97.1
2018-11-06 09:30:00,12.6,97.0
2018-11-06 09:40:00,12.6,96.1
2018-11-06 09:50:00,12.8,95.9
2018-11-06 10:00:00,12.8,96.2
2018-11-06 10:10:00,12.8,97.1
2018-11-06 10:20:00,12.9,95.6
2018-11-06 10:30:00,13.1,94.9
2018-11-06 10:40:00,13.2,93.2
2018-11-06 10:50:00,13.3,93.6
2018-11-06 11:00:00,13.2,92.9
2018-11-06 11:10:00,13.4,91.3
